Finished setup, waiting to start, PID: p:0 i(x100):0 d(x10):0
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
1.10 4.00 2.00 10.00 5.00 0.00 0.00 
 x:46.21 p:4.45 dt:0.18 a:32.61 c1:548.34 c2:4.76 c3:-561.40
 x:46.52 p:4.45 dt:0.18 a:32.61 c1:563.32 c2:5.59 c3:-561.40
 x:46.37 p:4.45 dt:0.18 a:32.61 c1:555.79 c2:5.16 c3:-561.40
 x:46.37 p:4.45 dt:0.18 a:32.61 c1:555.79 c2:5.16 c3:-561.40
 x:46.52 p:4.45 dt:0.18 a:32.61 c1:563.32 c2:5.59 c3:-561.40
 x:46.44 p:4.45 dt:0.18 a:32.61 c1:559.55 c2:5.37 c3:-561.40
 x:46.37 p:4.45 dt:0.18 a:32.61 c1:555.79 c2:5.16 c3:-561.40
 x:46.44 p:4.45 dt:0.18 a:32.61 c1:559.55 c2:5.37 c3:-561.40
 x:46.41 p:4.45 dt:0.18 a:32.61 c1:557.67 c2:5.27 c3:-561.40
 x:46.37 p:4.45 dt:0.18 a:32.61 c1:555.79 c2:5.16 c3:-561.40
 x:46.41 p:4.45 dt:0.18 a:32.61 c1:557.67 c2:5.27 c3:-561.40
 x:46.39 p:4.45 dt:0.18 a:32.61 c1:556.73 c2:5.22 c3:-561.40
 x:46.37 p:4.45 dt:0.18 a:32.61 c1:555.79 c2:5.16 c3:-561.40
 x:46.39 p:4.45 dt:0.18 a:32.61 c1:556.73 c2:5.22 c3:-561.40
 x:46.38 p:4.45 dt:0.18 a:32.61 c1:556.26 c2:5.19 c3:-561.40
 x:46.37 p:4.45 dt:0.18 a:32.61 c1:555.79 c2:5.16 c3:-561.40
 x:46.38 p:4.45 dt:0.18 a:32.61 c1:556.26 c2:5.19 c3:-561.40
==================46.38
767 x:0.06 y:0.20 z:1.05 acc:1.07 inst:3.32 dt:180 timee:1000 pComp:0.00 iComp:0.00 dComp:0.00 FF:1.45 PID:1.45
 x:46.38 p:4.86 dt:0.18 a:37.76 c1:556.26 c2:0.00 c3:-754.47
 x:56.38 p:4.86 dt:0.18 a:37.76 c1:1214.74 c2:33.47 c3:-754.47
 x:51.38 p:4.86 dt:0.18 a:37.76 c1:837.81 c2:8.37 c3:-754.47
 x:46.38 p:4.86 dt:0.18 a:37.76 c1:556.26 c2:0.00 c3:-754.47
 x:51.38 p:4.86 dt:0.18 a:37.76 c1:837.81 c2:8.37 c3:-754.47
 x:48.88 p:4.86 dt:0.18 a:37.76 c1:686.26 c2:2.09 c3:-754.47
 x:48.88 p:4.86 dt:0.18 a:37.76 c1:686.26 c2:2.09 c3:-754.47
 x:51.38 p:4.86 dt:0.18 a:37.76 c1:837.81 c2:8.37 c3:-754.47
 x:50.13 p:4.86 dt:0.18 a:37.76 c1:759.20 c2:4.71 c3:-754.47
 x:48.88 p:4.86 dt:0.18 a:37.76 c1:686.26 c2:2.09 c3:-754.47
 x:50.13 p:4.86 dt:0.18 a:37.76 c1:759.20 c2:4.71 c3:-754.47
 x:49.50 p:4.86 dt:0.18 a:37.76 c1:722.04 c2:3.27 c3:-754.47
 x:49.50 p:4.86 dt:0.18 a:37.76 c1:722.04 c2:3.27 c3:-754.47
 x:50.13 p:4.86 dt:0.18 a:37.76 c1:759.20 c2:4.71 c3:-754.47
 x:49.81 p:4.86 dt:0.18 a:37.76 c1:740.45 c2:3.96 c3:-754.47
 x:49.81 p:4.86 dt:0.18 a:37.76 c1:740.45 c2:3.96 c3:-754.47
 x:50.13 p:4.86 dt:0.18 a:37.76 c1:759.20 c2:4.71 c3:-754.47
 x:49.97 p:4.86 dt:0.18 a:37.76 c1:749.78 c2:4.32 c3:-754.47
 x:49.97 p:4.86 dt:0.18 a:37.76 c1:749.78 c2:4.32 c3:-754.47
 x:50.13 p:4.86 dt:0.18 a:37.76 c1:759.20 c2:4.71 c3:-754.47
 x:50.05 p:4.86 dt:0.18 a:37.76 c1:754.48 c2:4.51 c3:-754.47
 x:49.97 p:4.86 dt:0.18 a:37.76 c1:749.78 c2:4.32 c3:-754.47
 x:50.05 p:4.86 dt:0.18 a:37.76 c1:754.48 c2:4.51 c3:-754.47
 x:50.01 p:4.86 dt:0.18 a:37.76 c1:752.13 c2:4.42 c3:-754.47
 x:49.97 p:4.86 dt:0.18 a:37.76 c1:749.78 c2:4.32 c3:-754.47
 x:50.01 p:4.86 dt:0.18 a:37.76 c1:752.13 c2:4.42 c3:-754.47
 x:49.99 p:4.86 dt:0.18 a:37.76 c1:750.95 c2:4.37 c3:-754.47
 x:49.97 p:4.86 dt:0.18 a:37.76 c1:749.78 c2:4.32 c3:-754.47
 x:49.99 p:4.86 dt:0.18 a:37.76 c1:750.95 c2:4.37 c3:-754.47
 x:49.98 p:4.86 dt:0.18 a:37.76 c1:750.37 c2:4.35 c3:-754.47
 x:49.97 p:4.86 dt:0.18 a:37.76 c1:749.78 c2:4.32 c3:-754.47
 x:49.98 p:4.86 dt:0.18 a:37.76 c1:750.37 c2:4.35 c3:-754.47
==================49.98
948 x:0.09 y:0.22 z:1.06 acc:1.09 inst:3.85 dt:181 timee:1000 pComp:0.00 iComp:0.00 dComp:0.00 FF:1.56 PID:1.56
DOWNSLOPE1128 x:0.08 y:0.21 z:1.06 acc:1.09 inst:3.91 dt:180
DOWNSLOPE1134 x:0.07 y:0.27 z:1.06 acc:1.10 inst:3.91 dt:6
DOWNSLOPE1139 x:0.07 y:0.20 z:1.08 acc:1.10 inst:3.91 dt:5
DOWNSLOPE1143 x:0.08 y:0.23 z:1.06 acc:1.08 inst:3.90 dt:4
DOWNSLOPE1148 x:0.08 y:0.23 z:1.06 acc:1.08 inst:3.90 dt:5
DOWNSLOPE1153 x:0.08 y:0.23 z:1.06 acc:1.08 inst:3.90 dt:5
DOWNSLOPE1159 x:0.07 y:0.25 z:1.04 acc:1.08 inst:3.89 dt:6
DOWNSLOPE1164 x:0.07 y:0.25 z:1.04 acc:1.08 inst:3.89 dt:5
DOWNSLOPE1169 x:0.07 y:0.25 z:1.04 acc:1.08 inst:3.89 dt:5
DOWNSLOPE1174 x:0.07 y:0.25 z:1.04 acc:1.08 inst:3.88 dt:5
DOWNSLOPE1179 x:0.07 y:0.24 z:1.05 acc:1.08 inst:3.88 dt:5
DOWNSLOPE1184 x:0.07 y:0.24 z:1.05 acc:1.08 inst:3.88 dt:5
DOWNSLOPE1189 x:0.07 y:0.24 z:1.05 acc:1.08 inst:3.87 dt:5
DOWNSLOPE1194 x:0.07 y:0.24 z:1.05 acc:1.08 inst:3.87 dt:5
DOWNSLOPE1200 x:0.07 y:0.24 z:1.05 acc:1.08 inst:3.87 dt:6
DOWNSLOPE1205 x:0.06 y:0.23 z:1.06 acc:1.08 inst:3.86 dt:5
DOWNSLOPE1210 x:0.06 y:0.23 z:1.06 acc:1.08 inst:3.86 dt:5
DOWNSLOPE1215 x:0.06 y:0.23 z:1.06 acc:1.08 inst:3.86 dt:5
DOWNSLOPE1220 x:0.06 y:0.23 z:1.06 acc:1.08 inst:3.85 dt:5
DOWNSLOPE1225 x:0.06 y:0.23 z:1.06 acc:1.08 inst:3.85 dt:5
DOWNSLOPE1230 x:0.07 y:0.22 z:1.06 acc:1.08 inst:3.85 dt:5
DOWNSLOPE1235 x:0.07 y:0.22 z:1.06 acc:1.08 inst:3.84 dt:5
DOWNSLOPE1241 x:0.07 y:0.22 z:1.06 acc:1.08 inst:3.84 dt:6
DOWNSLOPE1246 x:0.07 y:0.22 z:1.06 acc:1.08 inst:3.84 dt:5
DOWNSLOPE1251 x:0.07 y:0.22 z:1.06 acc:1.08 inst:3.83 dt:5
DOWNSLOPE1256 x:0.05 y:0.22 z:1.06 acc:1.09 inst:3.83 dt:5
DOWNSLOPE1261 x:0.05 y:0.22 z:1.06 acc:1.09 inst:3.83 dt:5
DOWNSLOPE1266 x:0.05 y:0.22 z:1.06 acc:1.09 inst:3.82 dt:5
DOWNSLOPE1271 x:0.05 y:0.22 z:1.06 acc:1.09 inst:3.82 dt:5
DOWNSLOPE1276 x:0.04 y:0.23 z:1.07 acc:1.10 inst:3.82 dt:5
DOWNSLOPE1281 x:0.04 y:0.23 z:1.07 acc:1.10 inst:3.81 dt:5
DOWNSLOPE1287 x:0.04 y:0.23 z:1.07 acc:1.10 inst:3.81 dt:6
DOWNSLOPE1292 x:0.04 y:0.23 z:1.07 acc:1.10 inst:3.81 dt:5
DOWNSLOPE1297 x:0.04 y:0.23 z:1.07 acc:1.10 inst:3.80 dt:5
DOWNSLOPE1302 x:0.06 y:0.23 z:1.08 acc:1.10 inst:3.80 dt:5
DOWNSLOPE1307 x:0.06 y:0.23 z:1.08 acc:1.10 inst:3.80 dt:5
DOWNSLOPE1312 x:0.06 y:0.23 z:1.08 acc:1.10 inst:3.79 dt:5
DOWNSLOPE1317 x:0.06 y:0.23 z:1.08 acc:1.10 inst:3.79 dt:5
DOWNSLOPE1322 x:0.06 y:0.23 z:1.08 acc:1.10 inst:3.79 dt:5
DOWNSLOPE1328 x:0.08 y:0.18 z:1.15 acc:1.17 inst:3.78 dt:6
DOWNSLOPE1333 x:0.08 y:0.18 z:1.15 acc:1.17 inst:3.78 dt:5
DOWNSLOPE1338 x:0.08 y:0.18 z:1.15 acc:1.17 inst:3.77 dt:5
DOWNSLOPE1343 x:0.08 y:0.18 z:1.15 acc:1.17 inst:3.77 dt:5
DOWNSLOPE1348 x:0.08 y:0.18 z:1.15 acc:1.17 inst:3.77 dt:5
DOWNSLOPE1353 x:0.10 y:0.20 z:1.10 acc:1.13 inst:3.76 dt:5
DOWNSLOPE1357 x:0.10 y:0.20 z:1.10 acc:1.13 inst:3.76 dt:4
DOWNSLOPE1362 x:0.10 y:0.20 z:1.10 acc:1.13 inst:3.76 dt:5
DOWNSLOPE1367 x:0.10 y:0.20 z:1.10 acc:1.13 inst:3.76 dt:5
