Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 
0 1000 4000 10000 12000 17000 0 
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 17000 0 1000 4000 10000 12000 15000 20000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
1047 x:0.09 y:0.21 z:1.08 acc:1.10 inst:3.97 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1057 x:0.11 y:0.20 z:1.08 acc:1.10 inst:3.96 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1067 x:0.11 y:0.20 z:1.08 acc:1.10 inst:3.96 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1076 x:0.12 y:0.15 z:1.08 acc:1.10 inst:3.95 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1086 x:0.12 y:0.15 z:1.08 acc:1.10 inst:3.94 dt:10 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1095 x:0.12 y:0.15 z:1.08 acc:1.10 inst:3.94 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1106 x:0.12 y:0.19 z:1.07 acc:1.10 inst:3.93 dt:11 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1115 x:0.12 y:0.19 z:1.07 acc:1.10 inst:3.92 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1125 x:0.12 y:0.19 z:1.07 acc:1.09 inst:3.92 dt:10 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1134 x:0.12 y:0.19 z:1.07 acc:1.09 inst:3.91 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
