C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


47000ms, 550.00RPM, 346.01avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.46] z[1.36] mag[1.43] 27.11 degrees
47500ms, 575.00RPM, 348.42avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.42] z[1.41] mag[1.47] 30.69 degrees
48000ms, 590.00RPM, 350.94avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.45] z[1.38] mag[1.45] 28.65 degrees
48500ms, 600.00RPM, 353.51avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.45] z[1.38] mag[1.45] 28.54 degrees
49000ms, 585.00RPM, 355.87avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.15] y[0.47] z[1.32] mag[1.40] 24.75 degrees
49500ms, 560.00RPM, 357.93avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.44] z[1.39] mag[1.46] 29.13 degrees
50000ms, 590.00RPM, 360.25avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.42] z[1.32] mag[1.38] 25.99 degrees
50500ms, 570.00RPM, 362.33avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.44] z[1.39] mag[1.46] 29.17 degrees
51000ms, 575.00RPM, 364.41avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.44] z[1.31] mag[1.38] 24.86 degrees
51500ms, 600.00RPM, 366.70avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.15] y[0.44] z[1.33] mag[1.41] 26.16 degrees
52000ms, 575.00RPM, 368.70avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.00] y[0.42] z[1.35] mag[1.42] 27.78 degrees
52500ms, 570.00RPM, 370.62avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.02] y[0.46] z[1.33] mag[1.41] 25.71 degrees
53000ms, 600.00RPM, 372.78avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.39] z[1.35] mag[1.41] 28.63 degrees
53500ms, 570.00RPM, 374.63avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.45] z[1.36] mag[1.43] 27.26 degrees
54000ms, 570.00RPM, 376.44avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.45] z[1.33] mag[1.41] 26.01 degrees
54500ms, 600.00RPM, 378.49avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.44] z[1.29] mag[1.37] 24.04 degrees
55000ms, 570.00RPM, 380.23avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.44] z[1.33] mag[1.41] 26.42 degrees
55500ms, 620.00RPM, 382.39avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.39] z[1.31] mag[1.36] 26.25 degrees
56000ms, 580.00RPM, 384.15avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.47] z[1.35] mag[1.43] 26.22 degrees
56500ms, 580.00RPM, 385.88avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.42] z[1.35] mag[1.41] 27.73 degrees
57000ms, 595.00RPM, 387.72avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.44] z[1.39] mag[1.46] 29.46 degrees
57500ms, 610.00RPM, 389.65avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.45] z[1.39] mag[1.46] 28.96 degrees
58000ms, 560.00RPM, 391.12avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.39] z[1.37] mag[1.42] 29.35 degrees
