Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[nan]0 acc:1.09 inst:0.00 dt:0 pComp:-0.02 iComp:0.00 dComp:inf FF:nan PID:nan BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1144 acc:1.09 inst:1.46 dt:10 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1153 acc:1.09 inst:1.46 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1163 acc:1.09 inst:1.47 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1173 acc:1.12 inst:1.47 dt:10 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1183 acc:1.12 inst:1.47 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1192 acc:1.12 inst:1.48 dt:9 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1202 acc:1.12 inst:1.48 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1211 acc:1.12 inst:1.48 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1222 acc:1.12 inst:1.49 dt:11 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1231 acc:1.12 inst:1.49 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
