Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt2000
0.00 1.56 100000000.00 0.00 
0 2000 7000 0 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt2000
csdt10000000
0.00 1.56 1.56 0.00 
0 2000 10000000 10005000 
1232 x:-0.49 y:-0.53 z:1.24 acc:1.43 inst:0.96 dt:9 timee:2000 pComp:-0.14 iComp:-0.25 dComp:0.00 PID:0.00
1241 x:-0.49 y:-0.53 z:1.24 acc:1.43 inst:0.97 dt:9 timee:2000 pComp:-0.14 iComp:-0.26 dComp:0.00 PID:0.00
1250 x:-0.54 y:-0.51 z:1.15 acc:1.37 inst:0.97 dt:9 timee:2000 pComp:-0.12 iComp:-0.26 dComp:0.01 PID:0.00
1260 x:-0.54 y:-0.51 z:1.15 acc:1.37 inst:0.98 dt:10 timee:2000 pComp:-0.12 iComp:-0.26 dComp:0.00 PID:0.00
1269 x:-0.60 y:-0.34 z:1.17 acc:1.36 inst:0.99 dt:9 timee:2000 pComp:-0.11 iComp:-0.26 dComp:0.00 PID:0.00
1278 x:-0.60 y:-0.34 z:1.17 acc:1.36 inst:1.00 dt:9 timee:2000 pComp:-0.11 iComp:-0.26 dComp:0.00 PID:0.00
1287 x:-0.60 y:-0.34 z:1.17 acc:1.36 inst:1.00 dt:9 timee:2000 pComp:-0.11 iComp:-0.26 dComp:0.00 PID:0.00
1296 x:-0.66 y:-0.47 z:1.19 acc:1.44 inst:1.01 dt:9 timee:2000 pComp:-0.13 iComp:-0.26 dComp:-0.01 PID:0.00
1306 x:-0.66 y:-0.47 z:1.19 acc:1.44 inst:1.02 dt:10 timee:2000 pComp:-0.13 iComp:-0.26 dComp:0.00 PID:0.00
1315 x:-0.66 y:-0.47 z:1.19 acc:1.44 inst:1.03 dt:9 timee:2000 pComp:-0.12 iComp:-0.26 dComp:0.00 PID:0.00
1324 x:-0.69 y:-0.15 z:1.15 acc:1.35 inst:1.03 dt:9 timee:2000 pComp:-0.09 iComp:-0.27 dComp:0.01 PID:0.00
1333 x:-0.69 y:-0.15 z:1.15 acc:1.35 inst:1.04 dt:9 timee:2000 pComp:-0.09 iComp:-0.27 dComp:0.00 PID:0.00
1342 x:-0.73 y:-0.12 z:1.13 acc:1.35 inst:1.05 dt:9 timee:2000 pComp:-0.09 iComp:-0.27 dComp:0.00 PID:0.00
1352 x:-0.73 y:-0.12 z:1.13 acc:1.35 inst:1.05 dt:10 timee:2000 pComp:-0.09 iComp:-0.27 dComp:0.00 PID:0.00
1361 x:-0.73 y:-0.12 z:1.13 acc:1.35 inst:1.06 dt:9 timee:2000 pComp:-0.09 iComp:-0.27 dComp:0.00 PID:0.00
1370 x:-0.90 y:-0.64 z:1.06 acc:1.53 inst:1.07 dt:9 timee:2000 pComp:-0.14 iComp:-0.27 dComp:-0.02 PID:0.00
1379 x:-0.90 y:-0.64 z:1.06 acc:1.53 inst:1.08 dt:9 timee:2000 pComp:-0.14 iComp:-0.27 dComp:0.00 PID:0.00
1389 x:-0.90 y:-0.64 z:1.06 acc:1.53 inst:1.08 dt:10 timee:2000 pComp:-0.13 iComp:-0.27 dComp:0.00 PID:0.00
1398 x:-0.91 y:-0.14 z:1.08 acc:1.42 inst:1.09 dt:9 timee:2000 pComp:-0.10 iComp:-0.27 dComp:0.01 PID:0.00
1407 x:-0.91 y:-0.14 z:1.08 acc:1.42 inst:1.10 dt:9 timee:2000 pComp:-0.10 iComp:-0.27 dComp:0.00 PID:0.00
1416 x:-0.91 y:-0.32 z:1.11 acc:1.47 inst:1.10 dt:9 timee:2000 pComp:-0.11 iComp:-0.28 dComp:-0.00 PID:0.00
1425 x:-0.91 y:-0.32 z:1.11 acc:1.47 inst:1.11 dt:9 timee:2000 pComp:-0.11 iComp:-0.28 dComp:0.00 PID:0.00
1435 x:-0.91 y:-0.32 z:1.11 acc:1.47 inst:1.12 dt:10 timee:2000 pComp:-0.10 iComp:-0.28 dComp:0.00 PID:0.00
1444 x:-0.89 y:-0.63 z:1.18 acc:1.61 inst:1.13 dt:9 timee:2000 pComp:-0.15 iComp:-0.28 dComp:-0.02 PID:0.00
1453 x:-0.89 y:-0.63 z:1.18 acc:1.61 inst:1.13 dt:9 timee:2000 pComp:-0.14 iComp:-0.28 dComp:0.00 PID:0.00
1462 x:-0.89 y:-0.63 z:1.18 acc:1.61 inst:1.14 dt:9 timee:2000 pComp:-0.14 iComp:-0.28 dComp:0.00 PID:0.00
1472 x:-1.13 y:-0.31 z:1.16 acc:1.65 inst:1.15 dt:10 timee:2000 pComp:-0.15 iComp:-0.28 dComp:-0.00 PID:0.00
1481 x:-1.13 y:-0.31 z:1.16 acc:1.65 inst:1.16 dt:9 timee:2000 pComp:-0.15 iComp:-0.28 dComp:0.00 PID:0.00
