Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt5000
csdt10000
csdt15000
csdt20000
csdt25000
csdt30000
1.10 1.20 3.00 1.20 5.00 2.00 4.00 0.00 
0 5000 10000 15000 20000 25000 30000 35000 
1097 x:0.07 y:0.21 z:1.07 acc:1.10 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
1106 x:0.07 y:0.21 z:1.07 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1115 x:0.07 y:0.21 z:1.07 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1124 x:0.04 y:0.15 z:1.14 acc:1.15 inst:1.12 dt:9 timee:5000 pComp:-0.01 iComp:0.00 dComp:-0.01 PID:0.00
1133 x:0.04 y:0.15 z:1.14 acc:1.15 inst:1.12 dt:9 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
1142 x:0.04 y:0.15 z:1.14 acc:1.15 inst:1.12 dt:9 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
1151 x:0.03 y:0.11 z:1.14 acc:1.15 inst:1.12 dt:9 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
1159 x:0.03 y:0.11 z:1.14 acc:1.15 inst:1.12 dt:8 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
1169 x:0.03 y:0.14 z:1.08 acc:1.09 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.01 PID:0.02
1178 x:0.03 y:0.14 z:1.08 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1186 x:0.03 y:0.14 z:1.08 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1195 x:0.04 y:0.17 z:1.07 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
1203 x:0.04 y:0.17 z:1.07 acc:1.08 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
1213 x:0.04 y:0.17 z:1.07 acc:1.08 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
1222 x:0.05 y:0.17 z:1.09 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
1231 x:0.05 y:0.17 z:1.09 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1239 x:0.05 y:0.17 z:1.09 acc:1.10 mp:0.00 dComp:0.00 PID:0.02
1258 x:0.06 y:0.19 z:1.06 acc:1.08 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
1266 x:0.06 y:0.19 z:1.06 acc:1.08 inst:1.13 dt:8 timee:500inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1249 x:0.06 y:0.19 z:1.06 acc:1.08 inst:1.12 dt:10 timee:5000 pComp:0.01 iCo0 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
1275 x:0.07 y:0.21 z:1.05 acc:1.07 inst:1.13 dt:9 timee:5000 pComp:0.02 iComp:0.00 dComp:0.00 PID:0.02
1283 x:0.07 y:0.21 z:1.05 acc:1.07 inst:1.13 dt:8 timee:5000 pComp:0.02 iComp:0.00 dComp:0.00 PID:0.02
1293 x:0.07 y:0.21 z:1.05 acc:1.07 inst:1.13 dt:10 timee:5000 pComp:0.02 iComp:0.00 dComp:0.00 PID:0.02
1302 x:0.06 y:0.22 z:1.05 acc:1.07 inst:1.13 dt:9 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1310 x:0.06 y:0.22 z:1.05 acc:1.07 inst:1.13 dt:8 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1319 x:0.06 y:0.20 z:1.06 acc:1.09 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:-0.00 PID:0.02
1328 x:0.06 y:0.20 z:1.06 acc:1.09 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1337 x:0.06 y:0.20 z:1.06 acc:1.09 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1346 x:0.08 y:0.21 z:1.06 acc:1.08 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1355 x:0.08 y:0.21 z:1.06 acc:1.08 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1363 x:0.08 y:0.21 z:1.06 acc:1.08 inst:1.13 dt:8 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1372 x:0.05 y:0.21 z:1.06 acc:1.08 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:-0.00 PID:0.02
1382 x:0.05 y:0.21 z:1.06 acc:1.08 inst:1.13 dt:10 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1390 x:0.05 y:0.21 z:1.06 acc:1.08 inst:1.13 dt:8 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1399 x:0.04 y:0.19 z:1.07 acc:1.09 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:-0.00 PID:0.02
1408 x:0.04 y:0.19 z:1.07 acc:1.09 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1416 x:0.04 y:0.19 z:1.07 acc:1.09 inst:1.13 dt:8 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1426 x:0.05 y:0.16 z:1.08 acc:1.10 inst:1.13 dt:10 timee:5000 pComp:0.01 iComp:0.01 dComp:-0.00 PID:0.02
1435 x:0.05 y:0.16 z:1.08 acc:1.10 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1444 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1452 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.13 dt:8 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1462 x:0.07 y:0.20 z:1.07 acc:1.09 inst:1.13 dt:10 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1471 x:0.07 y:0.22 z:1.05 acc:1.07 inst:1.13 dt:9 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.03
1479 x:0.07 y:0.22 z:1.05 acc:1.07 inst:1.13 dt:8 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
