Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
0.00 
5000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
1074 x:0.10 y:0.19 z:1.05 acc:1.07 inst:3.95 dt:11 timee:4000 pComp:0.86 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
1083 x:0.10 y:0.19 z:1.05 acc:1.07 inst:3.94 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1093 x:0.09 y:0.19 z:1.06 acc:1.09 inst:3.94 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1102 x:0.09 y:0.19 z:1.06 acc:1.09 inst:3.93 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1111 x:0.09 y:0.19 z:1.06 acc:1.09 inst:3.93 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1122 x:0.05 y:0.19 z:1.05 acc:1.07 inst:3.92 dt:11 timee:4000 pComp:0.85 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
1131 x:0.05 y:0.19 z:1.05 acc:1.07 inst:3.91 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1141 x:0.04 y:0.18 z:1.05 acc:1.07 inst:3.91 dt:10 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1150 x:0.04 y:0.18 z:1.05 acc:1.07 inst:3.90 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1160 x:0.04 y:0.18 z:1.05 acc:1.07 inst:3.89 dt:10 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1170 x:0.06 y:0.16 z:1.06 acc:1.07 inst:3.89 dt:10 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1179 x:0.06 y:0.16 z:1.06 acc:1.07 inst:3.88 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1189 x:0.06 y:0.18 z:1.06 acc:1.08 inst:3.87 dt:10 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1198 x:0.06 y:0.18 z:1.06 acc:1.08 inst:3.87 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1208 x:0.06 y:0.18 z:1.06 acc:1.08 inst:3.86 dt:10 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1218 x:0.09 y:0.19 z:1.06 acc:1.08 inst:3.85 dt:10 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1227 x:0.09 y:0.19 z:1.06 acc:1.08 inst:3.85 dt:9 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1237 x:0.11 y:0.20 z:1.07 acc:1.09 inst:3.84 dt:10 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1247 x:0.11 y:0.20 z:1.07 acc:1.09 inst:3.84 dt:10 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1257 x:0.11 y:0.20 z:1.07 acc:1.09 inst:3.83 dt:10 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1266 x:0.10 y:0.21 z:1.07 acc:1.09 inst:3.82 dt:9 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1275 x:0.10 y:0.21 z:1.07 acc:1.09 inst:3.82 dt:9 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1285 x:0.10 y:0.21 z:1.06 acc:1.09 inst:3.81 dt:10 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1295 x:0.10 y:0.21 z:1.06 acc:1.09 inst:3.80 dt:10 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1305 x:0.10 y:0.21 z:1.06 acc:1.09 inst:3.80 dt:10 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1314 x:0.10 y:0.19 z:1.06 acc:1.08 inst:3.79 dt:9 timee:4000 pComp:0.81 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
1324 x:0.10 y:0.19 z:1.06 acc:1.08 inst:3.78 dt:10 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1334 x:0.10 y:0.19 z:1.06 acc:1.08 inst:3.78 dt:10 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1344 x:0.13 y:0.23 z:1.14 acc:1.18 inst:3.77 dt:10 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.01 FF:0.40 PID:1.14
