Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[0.62]1374 acc:1.31 inst:1.55 dt:11 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.62 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.62]1384 acc:1.22 inst:1.55 dt:10 pComp:0.01 iComp:0.00 dComp:0.01 FF:0.62 PID:0.63 BRK_EN:DIS MTR_EN:YES
NO_BS[0.62]1393 acc:1.22 inst:1.56 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.62 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.62]1402 acc:1.26 inst:1.56 dt:9 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.62 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.62]1412 acc:1.26 inst:1.56 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.62 PID:0.63 BRK_EN:DIS MTR_EN:YES
NO_BS[0.62]1422 acc:1.26 inst:1.57 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.62 PID:0.63 BRK_EN:DIS MTR_EN:YES
NO_BS[0.62]1432 acc:1.31 inst:1.57 dt:10 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.62 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.62]1441 acc:1.31 inst:1.58 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.62 PID:0.63 BRK_EN:DIS MTR_EN:YES
NO_BS[0.62]1451 acc:1.29 inst:1.58 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.62 PID:0.63 BRK_EN:DIS MTR_EN:YES
NO_BS[0.62]1461 acc:1.29 inst:1.58 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.62 PID:0.63 BRK_EN:DIS MTR_EN:YES
